Specie,State,Molecular Weight [g/mol],hf0 [J/mol],T_min [K],T_max [K],a1,a2,a3,a4,a5,a6,a7,b1,b2
Al2O3,s,101.96128,-1675700,200,500,-5391549.97,103667.6983,-817.322915,3.38825872,-0.0075124,8.66E-06,-4.07E-09,-666013.465,4235.50223
Al2O3,s,101.96128,-1675700,500,1200,-604208.7868,0,14.75480816,0.000827229,0,0,0,-207923.5447,-81.3602948
Al2O3,s,101.96128,-1675700,1200,2327,0,0,12.93774378,0.001992781,0,0,0,-206078.7581,-69.66603728
Al2O3,l,101.96128,-1675700,2327,6000,0,0,19.59225499,0,0,0,0,-202770.1571,-110.8590952
Al,s,26.98154,0,200,933.61,-62518.1143,634.393435,-0.713188382,0.010887253,-1.46E-05,9.96E-09,-1.77E-12,-3985.43932,6.5611002
Al,l,26.98154,0,933.61,6000,0,0,3.81862551,0,0,0,0,-95.7632316,-17.5255342
Al,g,26.98154,330000,1000,6000,-29208.20938,116.7751876,2.356906505,7.74E-05,-1.53E-08,-9.97E-13,5.05E-16,38232.8865,6.600920155
H2,g,2.01588,0,200,1000,40783.2321,-800.918604,8.21470201,-0.012697145,1.75E-05,-1.20E-08,3.37E-12,2682.484665,-30.43788844
H2,g,2.01588,0,1000,6000,560812.801,-837.150474,2.975364532,0.001252249,-3.74E-07,5.94E-11,-3.61E-15,5339.82441,-2.202774769
H2O,l,18.01528,-285830,273.15,373.15,1326371304,-24482953.88,187942.8776,-767.899505,1.761556813,-0.002151167,1.09E-06,110176047.6,-977970.097
H2O,g,18.01528,-241826,200,1000,-39479.6083,575.573102,0.931782653,0.007222713,-7.34E-06,4.96E-09,-1.34E-12,-33039.7431,17.24205775
H2O,g,18.01528,-241826,1000,6000,1034972.096,-2412.698562,4.64611078,0.002291998,-6.84E-07,9.43E-11,-4.82E-15,-13842.86509,-7.97814851
O2,g,31.9988,0,200,1000,-34255.6342,484.700097,1.119010961,0.004293889,-6.84E-07,-2.02E-09,1.04E-12,-3391.45487,18.4969947
O2,g,31.9988,0,1000,6000,-1037939.022,2344.830282,1.819732036,0.001267848,-2.19E-07,2.05E-11,-8.19E-16,-16890.10929,17.38716506
N2,g,28.0134,0,200,1000,22103.71497,-381.846182,6.08273836,-0.008530914,1.38E-05,-9.63E-09,2.52E-12,710.846086,-10.76003744
N2,g,28.0134,0,1000,6000,587712.406,-2239.249073,6.06694922,-0.000613969,1.49E-07,-1.92E-11,1.06E-15,12832.10415,-15.86640027
